Codigo foto	Carpeta/Subcarpeta	Camara usada	Fecha	Familia	Genero	Especie	Nombre cientifico	Código/ ID del individuo*	Descripcion o Ubicacion	Quebrada-transecto	Colectores	Metodo de captura	file_name	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
DSC_0164 - DSC_0165	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-01	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0164.JPG	Moenkhausia	98.25645089149477	Astyanax	1.0402563028037548	Tetragonopterus	0.5772828124463558	Pygocentrus	0.0329843198414892	Pyrrhulina	0.021210077102296054
DSC_0164 - DSC_0165	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-01	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0165.JPG	Moenkhausia	89.2520010471344	Astyanax	7.128837704658508	Tetragonopterus	3.0156105756759644	Pyrrhulina	0.20036036148667336	Pygocentrus	0.14323561917990446
DSC_0166 - DSC_0167	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-02	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0166.JPG	Apistogramma	65.46087265014647	Corydoras	20.00646442174911	Moenkhausia	4.673365503549577	Erythrinus	2.8386276215314865	Bujurquina	2.7893688529729843
DSC_0166 - DSC_0167	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-02	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0167.JPG	Apistogramma	24.901874363422394	Bryconops	19.499272108078003	Gymnotus	15.703123807907104	Charax	6.351567804813385	Bunocephalus	6.024449318647385
DSC_0168 - DSC_0169	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-03	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0168.JPG	Pyrrhulina	37.475240230560296	Erythrinus	30.185028910636905	Corydoras	25.180774927139282	Tatia	4.9899935722351065	Bujurquina	0.6444786675274372
DSC_0168 - DSC_0169	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-03	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0169.JPG	Corydoras	68.35842728614807	Erythrinus	20.01166939735413	Tatia	3.5162776708602905	Tetragonopterus	2.7173876762390137	Prochilodus	2.1311005577445035
DSC_0170 - DSC_0171	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-04	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0170.JPG	Bujurquina	48.471850156784065	Corydoras	41.12407267093658	Erythrinus	5.243676155805588	Apistogramma	1.6449782997369766	Tatia	0.9703151881694794
DSC_0170 - DSC_0171	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-04	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0171.JPG	Curimata	27.688470482826233	Moenkhausia	13.262768089771269	Gymnotus	12.918326258659365	Erythrinus	10.877872258424759	Ancistrus	7.518111169338226
DSC_0172 - DSC_0173	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-05	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0172.JPG	Moenkhausia	98.83175492286682	Astyanax	0.7058954332023859	Tetragonopterus	0.3088075434789061	Pygocentrus	0.03196223406121135	Pyrrhulina	0.024908455088734627
DSC_0172 - DSC_0173	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-05	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0173.JPG	Moenkhausia	88.32849860191345	Astyanax	8.156291395425798	Tetragonopterus	2.2906297817826267	Pygocentrus	0.2394967246800661	Pyrrhulina	0.2337626647204161
